ID_Equipo,Tipo_Equipo,Tipo_Falla,Nivel_Experiencia_Tecnico,Piezas_Reemplazadas,Garantia_Activa,Tiempo_Reparacion_Horas,Costo_Repuesto_USD
EQ-1000,Desktop,Hardware Pantalla,Junior,0,No,9.5,0.0
EQ-1001,Smartphone,Software,Senior,0,Sí,2.4,0.0
EQ-1002,Impresora,Software,Semi-Senior,0,No,5.3,0.0
EQ-1003,Desktop,Mantenimiento General,Senior,0,No,4.1,0.0
EQ-1004,Laptop,Hardware Pantalla,Junior,0,Sí,14.2,0.0
EQ-1005,Laptop,Software,Senior,1,No,7.4,68.47075651647552
EQ-1006,Laptop,Software,Junior,1,No,7.6,65.73710808659695
EQ-1007,Smartphone,Placa Madre,Junior,1,Sí,26.7,67.86881893151806
EQ-1008,Servidor,Software,Senior,2,No,6.6,92.26999777755196
EQ-1009,Impresora,Software,Junior,2,No,11.3,138.1401059410026
EQ-1010,Laptop,Hardware Pantalla,Junior,0,Sí,9.5,0.0
EQ-1011,Smartphone,Placa Madre,Senior,2,No,19.9,105.33869175530195
EQ-1012,Impresora,Placa Madre,Senior,0,Sí,14.4,0.0
EQ-1013,Laptop,Software,Semi-Senior,1,No,5.6,39.47514979401622
EQ-1014,Laptop,Placa Madre,Semi-Senior,1,No,18.6,41.98769209228387
EQ-1015,Laptop,Software,Semi-Senior,2,No,6.7,87.54072299311065
EQ-1016,Laptop,Software,Junior,0,No,6.1,0.0
EQ-1017,Desktop,Placa Madre,Junior,3,No,32.5,129.94045822866224
EQ-1018,Desktop,Hardware Pantalla,Semi-Senior,0,No,9.9,0.0
EQ-1019,Laptop,Mantenimiento General,Semi-Senior,1,No,4.3,34.252647852459646
EQ-1020,Servidor,Placa Madre,Semi-Senior,0,No,19.0,0.0
EQ-1021,Laptop,Hardware Pantalla,Semi-Senior,0,Sí,7.9,0.0
EQ-1022,Laptop,Software,Junior,1,No,8.5,24.39175542610662
EQ-1023,Desktop,Software,Semi-Senior,1,Sí,5.5,56.206915602882674
EQ-1024,Desktop,Software,Junior,1,Sí,9.4,49.47915854136485
EQ-1025,Impresora,Software,Semi-Senior,3,Sí,11.4,171.05275241823102
EQ-1026,Laptop,Mantenimiento General,Semi-Senior,1,No,5.9,47.80964262803434
EQ-1027,Desktop,Software,Senior,2,No,8.0,85.57429362150758
EQ-1028,Desktop,Mantenimiento General,Junior,1,No,4.6,71.80001897430952
EQ-1029,Laptop,Hardware Pantalla,Junior,0,Sí,12.6,0.0
EQ-1030,Servidor,Placa Madre,Junior,1,No,31.5,48.75091265778386
